Shun'ichi Ozawa	Ozawa, Shun' ichi	http://vocab.getty.edu/ulan/500261734
Oudiné, Eugène André	Oudiné, Eugène	http://vocab.getty.edu/ulan/500054908
Aleksandr Aleksandrovich Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
M Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
A A Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
M. Aleksandr Aleksandrovich Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
M. Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
M Aleksandr Aleksandrovich Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
A. A. Osmerkin	Osmerkin, Aleksandr Aleksandrovich	http://vocab.getty.edu/ulan/500160620	http://id.loc.gov/authorities/names/n82118226
Seferina Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Mme. Seferina Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
S. Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
S Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Mme Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Mme Seferina Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Mme. Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Ortiz, Serefina	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Serefina Ortiz	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Ortiz, Serafina	Ortiz, Seferina	http://vocab.getty.edu/ulan/500034206	http://id.loc.gov/authorities/names/nr98018257
Miguel de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M Miguel de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M. De Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
De Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M. Miguel de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M. Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M De Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
M. de Oriol Ibarra	Oriol Ibarra, Miguel de	http://vocab.getty.edu/ulan/500260019
Sebastian Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
M Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
S. Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
S Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
M. Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
M Sebastian Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
M. Sebastian Ortiz	Ortiz, Sebastian	http://vocab.getty.edu/ulan/500034207
Juan Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
M Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
M. Juan Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
J Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
M Juan Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
M. Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
J. Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Ortiz	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Ortiz, Juan, the elder	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Ortín, Juan	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Hortiz, Juan	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Ortiz the Elder I, Juan	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Ortiz the Elder, Juan	Ortiz, Juan	http://vocab.getty.edu/ulan/500034208
Antonio Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
A Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
M Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
M. Antonio Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
A. Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
M. Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
M Antonio Ortiz Garcia	Ortiz Garcia, Antonio	http://vocab.getty.edu/ulan/500034209
David Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
M. David Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
M. Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
M David Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
D Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
M Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
D. Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
Oxtoby	Oxtoby, David	http://vocab.getty.edu/ulan/500006386	http://id.loc.gov/authorities/names/n86817141
Thomas Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
T Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
M Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
T. Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
M. Thomas Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
M Thomas Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
M. Oelzner	Oelzner, Thomas	http://vocab.getty.edu/ulan/500088126
Dennis Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
M. Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
D. Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
M Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
D Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
M Dennis Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
M. Dennis Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
Oppenheim, Dennis A.	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
Dennis A. Oppenheim	Oppenheim, Dennis	http://vocab.getty.edu/ulan/500011050	http://id.loc.gov/authorities/names/n80065851
Tim Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
M. Tim Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
M Tim Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
T Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
M. Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
M Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
T. Ollivier	Ollivier, Tim	http://vocab.getty.edu/ulan/500190897
Moriyasu Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
M Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
M Moriyasu Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
M. Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
M. Moriyasu Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
Ootsuka	Ootsuka, Moriyasu	http://vocab.getty.edu/ulan/500231317
Hans-Ulrich Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
H. U. Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
Hans Ulrich Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
M. Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
M Hans Ulrich Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
M. Hans Ulrich Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
M Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
H U Obrist	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
Obrist, H. U.	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
Obrist, Ulrich	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
Obrist, Ulrich-Hans	Obrist, Hans Ulrich	http://vocab.getty.edu/ulan/500263452	http://id.loc.gov/authorities/names/n94011984
S. Mad Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
M. Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
M Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
S M Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
M S. Mad Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
S. M. Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
M. S. Mad Oreyzi	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
Oreyzi, S. Mohammed	Oreyzi, S. Mad	http://vocab.getty.edu/ulan/500240964
Emile Edmond Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
E. E. Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
M. Emile Edmond Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
M. Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
M Emile Edmond Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
M Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
E E Ollivier	Ollivier, Emile Edmond	http://vocab.getty.edu/ulan/500042273	http://id.loc.gov/authorities/names/no2009024902
Ortiz-Echagüe, José	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
José Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
M. José Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
M José Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
J Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
M Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
M. Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
J. Ortiz Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
José Ortiz-Echagüe	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Echagüe, José Ortiz	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Ortiz-Echague, Jose	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Echague, Jose Ortiz	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Echagüe, Ortiz	Ortiz Echagüe, José	http://vocab.getty.edu/ulan/500003334
Ana de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A. De Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme. Ana de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
De Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A. de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme Ana de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme. Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A. Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A De Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme De Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
A de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme. de Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Mme. De Orbegoso	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
De Orbegoso, Ana	Orbegoso, Ana de	http://vocab.getty.edu/ulan/500340543	http://id.loc.gov/authorities/names/no2008029815
Otis Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
M. Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
M Otis Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
O. Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
M Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
O Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
M. Otis Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
Oldfield, Otis William	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
Otis William Oldfield	Oldfield, Otis	http://vocab.getty.edu/ulan/500160235
Pedro Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
P Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
M. Pedro Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
M Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
M Pedro Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
M. Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
P. Otzoup	Otzoup, Pedro	http://vocab.getty.edu/ulan/500264533
John C. O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
M. O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
M O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
J. C. O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
J C O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
M. John C. O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
M John C. O'Connor	O' Connor, John C.	http://vocab.getty.edu/ulan/500058924	http://id.loc.gov/authorities/names/n81089114
Abraham Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
M Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
M. Abraham Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
M Abraham Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
A. Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
M. Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
A Ortelius	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
Oertel, Abraham	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
Ortels, Abraham	Ortelius, Abraham	http://vocab.getty.edu/ulan/500011462	http://id.loc.gov/authorities/names/n50002381
Robert Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
M Robert Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
R Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
M Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
M. Robert Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
R. Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
M. Ortuño	Ortuño, Robert	http://vocab.getty.edu/ulan/500105241
Shinichi Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
M Shinichi Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
S. Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
M Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
M. Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
M. Shinichi Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
S Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
Okuyama	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
Okuyana, Shinichi	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
Shinichi Okuyana	Okuyama, Shinichi	http://vocab.getty.edu/ulan/500062435
Per Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
P Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
M. Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
M Per Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
M. Per Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
M Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
P. Oeding	Oeding, Per	http://vocab.getty.edu/ulan/500088122
Federico Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
M. Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
F Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
M. Federico Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
F. Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
M Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
M Federico Oliva	Oliva, Federico	http://vocab.getty.edu/ulan/500237868
Antonio Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
A Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
M. Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
A. Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
M Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
M Antonio Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
M. Antonio Ochoa	Ochoa, Antonio	http://vocab.getty.edu/ulan/500271337
Cemal Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
M. Cemal Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
M Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
C Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
M. Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
C. Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
M Cemal Ozturk	Ozturk, Cemal	http://vocab.getty.edu/ulan/500276063
Richard O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
M Richard O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
M. Richard O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
M O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
R O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
R. O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
M. O'Hanlon	O' Hanlon, Richard	http://vocab.getty.edu/ulan/500329715
Lin Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
M. Lin Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
L. Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
L Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
M. Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
M Lin Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
M Onus	Onus, Lin	http://vocab.getty.edu/ulan/500124124	http://id.loc.gov/authorities/names/n2001001414
Whitson Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
M. Whitson Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
M. Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
M Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
W. Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
M Whitson Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
W Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
Overcash	Overcash, Whitson	http://vocab.getty.edu/ulan/500077725
James O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
M. O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
J O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
M. James O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
M O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
J. O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
M James O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
O'Barr	O' Barr, James	http://vocab.getty.edu/ulan/500330126
George Owen	Owen, George	http://vocab.getty.edu/ulan/500003344
G. Owen	Owen, George	http://vocab.getty.edu/ulan/500003344
M George Owen	Owen, George	http://vocab.getty.edu/ulan/500003344
G Owen	Owen, George	http://vocab.getty.edu/ulan/500003344
