Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Johanna Petronella Catharina Antoinetta Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Jo Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
J Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
J. Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Mme Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Mme Jo Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Mme. Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Mme. Jo Koster	Koster, Jo (1868-1944)	http://data.bnf.fr/ark:/12148/cb15032359f#foaf:Person
Fred Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
F Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
F. Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
M Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
M Fred Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
M. Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
M. Fred Kitchen	Kitchen, Fred (1891-1969)	http://data.bnf.fr/ark:/12148/cb14571035x#foaf:Person
Charles Bird King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
C B King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
C. B. King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
M King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
M Charles Bird King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
M. King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
M. Charles Bird King	King, Charles Bird (1785-1862)	http://data.bnf.fr/ark:/12148/cb144607059#foaf:Person	http://www.idref.fr/085936537
Albert Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
A Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
A. Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
M Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
M Albert Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
M. Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
M. Albert Kontz	Kontz, Albert (1852--)	http://data.bnf.fr/ark:/12148/cb122514214#foaf:Person	http://www.idref.fr/031266053
Václav Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
V Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
V. Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
M Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
M Václav Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
M. Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
M. Václav Kaprál	Kaprál, Václav (1889-1947)	http://data.bnf.fr/ark:/12148/cb14792218w#foaf:Person	http://dbpedia.org/resource/Václav_Kaprál
Georges Conus	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
Georgij Èduardovič Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
G È Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
G. È. Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
M Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
M Georgij Èduardovič Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
M. Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
M. Georgij Èduardovič Konûs	Konûs, Georgij Èduardovič (1862-1933)	http://data.bnf.fr/ark:/12148/cb124673137#foaf:Person	http://dbpedia.org/resource/Georges_Conus
Eugène de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
De Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E. Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E De Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E. De Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
E. de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M Eugène de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M. Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
M. Eugène de Kermadec	Kermadec, Eugène de (1899-1976)	http://data.bnf.fr/ark:/12148/cb13326949s#foaf:Person	http://dbpedia.org/resource/Eugène-Nestor_de_Kermadec	http://www.idref.fr/137846703
Johanna Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
J Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
J. Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Mme Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Mme Johanna Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Mme. Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Mme. Johanna Kinkel	Kinkel, Johanna (1810-1858)	http://data.bnf.fr/ark:/12148/cb12459753v#foaf:Person	http://www.idref.fr/03376445X
Johannes Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
J Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
J. Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
M Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
M Johannes Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
M. Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
M. Johannes Kohtz	Kohtz, Johannes (1843-1918)	http://data.bnf.fr/ark:/12148/cb16715662t#foaf:Person
Otho Carl Erdmann von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
Otto Carl Erdmann von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
Von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O C E Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O. C. E. Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O C E von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O C E Von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O. C. E. Von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
O. C. E. von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M Otto Carl Erdmann von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M. Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
M. Otto Carl Erdmann von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
Otto Karl Erdmann von Kospoth	Kospoth, Otto Carl Erdmann von (1753-1817)	http://data.bnf.fr/ark:/12148/cb14982863h#foaf:Person
Johann Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
Johannes Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
J Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
J. Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
M Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
M Johannes Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
M. Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
M. Johannes Kepler	Kepler, Johannes (1571-1630)	http://data.bnf.fr/ark:/12148/cb11909597m#foaf:Person	http://dbpedia.org/resource/Johannes_Kepler	http://www.idref.fr/026947676
Werner Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
W Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
W. Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
M Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
M Werner Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
M. Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
M. Werner Konrad	Konrad, Werner (1742-1812)	http://data.bnf.fr/ark:/12148/cb13328655c#foaf:Person
Henri Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
Heinrich Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
H Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
H. Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
M Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
M Heinrich Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
M. Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
M. Heinrich Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
Henricus Khunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
Heinrich Kunrath	Khunrath, Heinrich (1560-1605)	http://data.bnf.fr/ark:/12148/cb13006542b#foaf:Person	http://dbpedia.org/resource/Heinrich_Khunrath	http://www.idref.fr/033766452
Oswald Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
O Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
O. Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
M Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
M Oswald Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
M. Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
M. Oswald Kabasta	Kabasta, Oswald (1896-1946)	http://data.bnf.fr/ark:/12148/cb139270398#foaf:Person	http://dbpedia.org/resource/Oswald_Kabasta	http://www.idref.fr/080493440
Hugues Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
H Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
H. Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
M Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
M Hugues Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
M. Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
M. Hugues Krafft	Krafft, Hugues (1853-1935)	http://data.bnf.fr/ark:/12148/cb15364944p#foaf:Person	http://dbpedia.org/resource/Hugues_Krafft
James Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
J Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
J. Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
M Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
M James Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
M. Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
M. James Kendall	Kendall, James (1889-1978)	http://data.bnf.fr/ark:/12148/cb125639791#foaf:Person	http://www.idref.fr/082626154
Ferencz Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
Ferenc Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
F Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
F. Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
M Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
M Ferenc Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
M. Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
M. Ferenc Kazinczy	Kazinczy, Ferenc (1759-1831)	http://data.bnf.fr/ark:/12148/cb120551886#foaf:Person	http://dbpedia.org/resource/Ferenc_Kazinczy	http://www.idref.fr/085895369
Alexander Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
Alexander von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
Von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A. Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A Von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A. Von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
A. von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
M von Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
M Keyserling	Keyserling, Alexander von (1815-1891)	http://data.bnf.fr/ark:/12148/cb13480081r#foaf:Person	http://dbpedia.org/resource/Alexander_von_Keyserling	http://www.idref.fr/120799782
