William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
H. Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
H de Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
H De Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
H. De Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
H. de Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M de Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M Henri de Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M. Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
M. Henri de Weindel	Weindel, Henri de (1868-1944)	http://data.bnf.fr/ark:/12148/cb130121205#foaf:Person
Joseph Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
J Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
J. Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
M Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
M Joseph Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
M. Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
M. Joseph Wannenmacher	Wannenmacher, Joseph (1722-1780)	http://data.bnf.fr/ark:/12148/cb12293773h#foaf:Person	http://www.idref.fr/081496176
Ernst Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
E Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
E. Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
M Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
M Ernst Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
M. Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
M. Ernst Wollweber	Wollweber, Ernst (1898-1967)	http://data.bnf.fr/ark:/12148/cb13574129v#foaf:Person	http://www.idref.fr/053442768
Leopold de Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
Leopold Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
L Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
L. Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
M Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
M Leopold Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
M. Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
M. Leopold Wenzel	Wenzel, Leopold (1847-1923)	http://data.bnf.fr/ark:/12148/cb15869606c#foaf:Person
Gustav Adolf Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
Adolf Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
A Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
A. Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
M Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
M Adolf Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
M. Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
M. Adolf Wilhelm	Wilhelm, Adolf (1864-1950)	http://data.bnf.fr/ark:/12148/cb12377895t#foaf:Person	http://www.idref.fr/032824416
Jean-Baptiste Wekerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
Jean Baptiste Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
J B Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
J. B. Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
M Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
M Jean Baptiste Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
M. Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
M. Jean Baptiste Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
Marc Giroflée	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
Jean Baptiste Théodore Weckerlin	Weckerlin, Jean Baptiste (1821-1910)	http://data.bnf.fr/ark:/12148/cb139010607#foaf:Person	http://dbpedia.org/resource/Jean-Baptiste_Weckerlin
Benedikt Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
B Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
B. Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
M Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
M Benedikt Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
M. Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
M. Benedikt Welte	Welte, Benedikt (1805-1885)	http://data.bnf.fr/ark:/12148/cb105617969#foaf:Person
Léon Isaac Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
Léon Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
L Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
L. Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
M Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
M Léon Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
M. Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
M. Léon Waldteufel	Waldteufel, Léon (1832-1884)	http://data.bnf.fr/ark:/12148/cb14997048t#foaf:Person
Beckles Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
Henry Beckles Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
H B Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
H. B. Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
M Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
M Henry Beckles Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
M. Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
M. Henry Beckles Willson	Willson, Henry Beckles (1869-1942)	http://data.bnf.fr/ark:/12148/cb167408963#foaf:Person	http://www.idref.fr/106906070
H. Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
Hermann Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
H Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
H. Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
M Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
M Hermann Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
M. Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
M. Hermann Wartmann	Wartmann, Hermann (1835-1929)	http://data.bnf.fr/ark:/12148/cb10459500f#foaf:Person	http://www.idref.fr/085611182
Hermann Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
H Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
H. Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
M Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
M Hermann Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
M. Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
M. Hermann Wetzler	Wetzler, Hermann (1870-1943)	http://data.bnf.fr/ark:/12148/cb14849551c#foaf:Person
Lucien Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
L Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
L. Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
M Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
M Lucien Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
M. Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
M. Lucien Wolf	Wolf, Lucien (1857-1930)	http://data.bnf.fr/ark:/12148/cb124748284#foaf:Person	http://www.idref.fr/033942218
Albert-Alphonse Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
Albert Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
A Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
A. Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
M Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
M Albert Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
M. Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
M. Albert Willemet	Willemet, Albert (1883-1944)	http://data.bnf.fr/ark:/12148/cb12779779g#foaf:Person
Charles Molloy Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
C M Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
C. M. Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
M Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
M Charles Molloy Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
M. Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
M. Charles Molloy Westmacott	Westmacott, Charles Molloy (1788-1868)	http://data.bnf.fr/ark:/12148/cb107378942#foaf:Person
Walter Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
W Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
W. Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
M Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
M Walter Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
M. Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
M. Walter Wanger	Wanger, Walter (1894-1968)	http://data.bnf.fr/ark:/12148/cb13611708r#foaf:Person	http://www.idref.fr/055823084
André Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
A Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
A. Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
M Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
M André Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
M. Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
M. André Wahl	Wahl, André (1872-1944)	http://data.bnf.fr/ark:/12148/cb12526128t#foaf:Person	http://www.idref.fr/074763857
Henry Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
Henry Agard Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
H A Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
H. A. Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
M Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
M Henry Agard Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
M. Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
M. Henry Agard Wallace	Wallace, Henry Agard (1888-1965)	http://data.bnf.fr/ark:/12148/cb128431568#foaf:Person	http://dbpedia.org/resource/Henry_Wallace	http://www.idref.fr/055301266
Samuel Wendell Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
S W Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
S. W. Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
M Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
M Samuel Wendell Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
M. Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
M. Samuel Wendell Williston	Williston, Samuel Wendell (1851-1918)	http://data.bnf.fr/ark:/12148/cb124930043#foaf:Person	http://dbpedia.org/resource/Samuel_Wendell_Williston	http://www.idref.fr/085878979
Wilh. Wakkernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Wilhelm Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
W Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
W. Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
M Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
M Wilhelm Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
M. Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
M. Wilhelm Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Heinrich W. Wakkernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Karl H. Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Guilelmus Wakkernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Carl H. Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Karl Heinrich Wilhelm Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Guilelmus Wackernagel	Wackernagel, Wilhelm (1806-1869)	http://data.bnf.fr/ark:/12148/cb12750925h#foaf:Person	http://www.idref.fr/087765268
Albert Coady Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
A C Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
A. C. Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
M Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
M Albert Coady Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
M. Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
M. Albert Coady Wedemeyer	Wedemeyer, Albert Coady (1896-1989)	http://data.bnf.fr/ark:/12148/cb11995762d#foaf:Person	http://www.idref.fr/028042697
Michael Wildmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
Michael Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M. Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M Michael Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M. Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
M. Michael Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
Michael Willemans	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
Michael Lukas Leopold Willmann	Willmann, Michael (1630-1706)	http://data.bnf.fr/ark:/12148/cb12508894m#foaf:Person	http://www.idref.fr/034322531
Norbertus Weber	Weber, Norbert (1870-1956)	http://data.bnf.fr/ark:/12148/cb15503115r#foaf:Person
Norbert Weber	Weber, Norbert (1870-1956)	http://data.bnf.fr/ark:/12148/cb15503115r#foaf:Person
Weber	Weber, Norbert (1870-1956)	http://data.bnf.fr/ark:/12148/cb15503115r#foaf:Person
