Theodor von Zahn	Zahn, Theodor (1838-1933)	http://data.bnf.fr/ark:/12148/cb125179836#foaf:Person	http://www.idref.fr/074066978
G De Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
G Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M De Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
G. Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M. Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M. Gabriele de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
G. de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriele de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M Gabriele de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
M. De Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriel de Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriele De Zerbi	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriele De Zerbis	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriele Zerbi	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Gabriele de Zerbi	Zerbis, Gabriele de (1455-1505)	http://data.bnf.fr/ark:/12148/cb12221559g#foaf:Person	http://www.idref.fr/030890527
Boris Zaitzef	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
B. K. Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
M Boris Konstantinovič Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
Boris Konstantinovič Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
M Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
M. Boris Konstantinovič Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
B K Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
M. Zajcev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
Boris Zaïtzeff	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
Boris Konstantinovitch Zaïtsev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
Boris Zaïtsev	Zajcev, Boris Konstantinovič (1881-1971)	http://data.bnf.fr/ark:/12148/cb12551986m#foaf:Person	http://www.idref.fr/034804552
M. Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
M. Karl Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
M Karl Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
K. Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
K Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
Karl Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
M Zeumer	Zeumer, Karl (1849-1914)	http://data.bnf.fr/ark:/12148/cb12463746b#foaf:Person	http://www.idref.fr/033818606
A. Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
Adolph Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
M Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
M. Adolph Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
M. Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
M Adolph Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
A Zukor	Zukor, Adolph (1873-1976)	http://data.bnf.fr/ark:/12148/cb12488111n#foaf:Person	http://dbpedia.org/resource/Adolph_Zukor
Pietro Andrea Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
P A Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
M Pietro Andrea Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
M. Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
M Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
M. Pietro Andrea Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
P. A. Ziani	Ziani, Pietro Andrea (1616-1684)	http://data.bnf.fr/ark:/12148/cb123281922#foaf:Person	http://dbpedia.org/resource/Pietro_Andrea_Ziani	http://www.idref.fr/147902665
M Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
R. Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
R Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
M Robert Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
M. Robert Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
M. Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
Robert Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
Zimmermann	Zimmermann, Robert (1824-1898)	http://data.bnf.fr/ark:/12148/cb12848847f#foaf:Person	http://www.idref.fr/081613512
Étienne Sui	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
M Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
M Étienne Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
M. Étienne Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
M. Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
É Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
Étienne Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
É. Zi	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
Étienne Siu	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
Étienne Hsü	Zi, Étienne (1851-1932)	http://data.bnf.fr/ark:/12148/cb144557775#foaf:Person	http://www.idref.fr/075011050
M Ernst Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
M. Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
E. Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
E Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
M. Ernst Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
Ernst Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
M Zitelmann	Zitelmann, Ernst (1852-1923)	http://data.bnf.fr/ark:/12148/cb131671139#foaf:Person	http://www.idref.fr/067035450
M. Joachim Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
M Joachim Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
M. Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
Joachim Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
J. Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
M Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
J Zinner	Zinner, Joachim (1742-1814)	http://data.bnf.fr/ark:/12148/cb13182774c#foaf:Person
M. Johannes Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
M. Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
J. Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
Johannes Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
M Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
J Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
M Johannes Zieger	Zieger, Johannes (1646-1711)	http://data.bnf.fr/ark:/12148/cb12230170v#foaf:Person	http://www.idref.fr/080090958
Frère Benoît	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
M Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
M. Maurice Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
M Maurice Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
M. Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
Maurice Zundel	Zundel, Maurice (1897-1975)	http://data.bnf.fr/ark:/12148/cb11929755n#foaf:Person	http://www.idref.fr/027204804
Yisrael Tsinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
M. Yiśraʾel Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Y Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Y. Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Yiśraʾel Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
M Yiśraʾel Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
M. Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
M Ẕinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Israel Zinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Israel Cinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Sergei Lazarevich Zinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
Yisra'el Zinberg	Ẕinberg, Yiśraʾel (1873-1939)	http://data.bnf.fr/ark:/12148/cb12954338h#foaf:Person	http://www.idref.fr/087186047
A Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
M. Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
M. Antun Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
M Antun Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
Antun Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
M Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
A. Zupa	Zupa, Antun (1897-1968)	http://data.bnf.fr/ark:/12148/cb15108093s#foaf:Person
Kōgen	Zonkaku (1290-1373)	http://data.bnf.fr/ark:/12148/cb123768978#foaf:Person	http://www.idref.fr/032812108
Zonkaku	Zonkaku (1290-1373)	http://data.bnf.fr/ark:/12148/cb123768978#foaf:Person	http://www.idref.fr/032812108
M Zonkaku	Zonkaku (1290-1373)	http://data.bnf.fr/ark:/12148/cb123768978#foaf:Person	http://www.idref.fr/032812108
M. Zonkaku	Zonkaku (1290-1373)	http://data.bnf.fr/ark:/12148/cb123768978#foaf:Person	http://www.idref.fr/032812108
M Edgar Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
E Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
M Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
Edgar Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
E. Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
M. Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
M. Edgar Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
Zevort	Zevort, Edgar (1842-1908)	http://data.bnf.fr/ark:/12148/cb12569035c#foaf:Person	http://www.idref.fr/034999086
M Magnus Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
M Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
Magnus Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
M. Magnus Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
M. Zeller	Zeller, Magnus (1888-1972)	http://data.bnf.fr/ark:/12148/cb14513873x#foaf:Person
M. Egmont Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
E. Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
M Egmont Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
E Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
M. Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
M Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
Egmont Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
Zechlin	Zechlin, Egmont (1896-1992)	http://data.bnf.fr/ark:/12148/cb12715806b#foaf:Person	http://www.idref.fr/055796125
M Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
C C Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
M Carle Clark Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
M. Carle Clark Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
Carle Clark Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
M. Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
C. C. Zimmermann	Zimmermann, Carle Clark (1897--)	http://data.bnf.fr/ark:/12148/cb12484420g#foaf:Person
Xabier Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
X Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
M Xavier Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
Xavier Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
X. Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
M Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
M. Xavier Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
M. Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
José Javier Zubiri Apalátegui	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
Javier Zubiri	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
Xavier Zubiri Apalátegui	Zubiri, Xavier (1898-1983)	http://data.bnf.fr/ark:/12148/cb120559574#foaf:Person	http://www.idref.fr/027524930
M. Louis Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
L. Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
M Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
M Louis Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
Louis Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
L Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
M. Zivy	Zivy, Louis (1878-1943)	http://data.bnf.fr/ark:/12148/cb10787871f#foaf:Person
M Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
Von Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
E. A. W. Von Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
M. Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
von Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
E. A. W. Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
M Von Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
Eberhard August Wilhelm von Zimmermann	Zimmermann, Eberhard August Wilhelm von (1743-1815)	http://data.bnf.fr/ark:/12148/cb12330956p#foaf:Person	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://www.idref.fr/067041280
